Table S3. All parameter estimates from the best fit model for each species. Median estimates and 95% credible intervals are included.,,,,,,
species,parameter,state,explanation,lower(2.5%),median,upper(97.5%)
red fox,Dmu,detection,grand mean,-3.87,-2.59,-1.27
red fox,psi_sd,occupancy,among city standard deviation,0.70,1.65,3.35
red fox,rho_sd,detection,among city standard deviation,0.67,1.54,3.00
red fox,B_diff.1.,occupancy,AUTX-random effect,-3.92,0.01,4.06
red fox,B_diff.2.,occupancy,CHIL-random effect,-4.37,-1.33,1.34
red fox,B_diff.3.,occupancy,DECO-random effect,-1.82,0.53,3.65
red fox,B_diff.4.,occupancy,FOCO-random effect,-2.22,0.04,2.61
red fox,B_diff.5.,occupancy,ICIA-random effect,-2.00,-0.15,1.44
red fox,B_diff.6.,occupancy,ININ-random effect,-2.39,-0.42,1.30
red fox,B_diff.7.,occupancy,LBCA-random effect,-4.01,0.00,4.03
red fox,B_diff.8.,occupancy,MAKS-random effect,-4.82,-2.00,0.47
red fox,B_diff.9.,occupancy,MAWI-random effect,-2.71,-0.19,2.17
red fox,B_diff.10.,occupancy,WIDE--random effect,0.17,2.14,4.30
striped skunk,B0.1.,occupancy,AUTX-intercept,-2.12,-1.71,-1.34
striped skunk,B0.2.,occupancy,CHIL-intercept,-2.12,-1.71,-1.34
striped skunk,B0.3.,occupancy,DECO-intercept,-2.12,-1.71,-1.34
striped skunk,B0.4.,occupancy,FOCO-intercept,-2.12,-1.71,-1.34
striped skunk,B0.5.,occupancy,ICIA-intercept,-2.12,-1.71,-1.34
striped skunk,B0.6.,occupancy,ININ-intercept,-2.12,-1.71,-1.34
striped skunk,B0.7.,occupancy,LBCA-intercept,-2.12,-1.71,-1.34
striped skunk,B0.8.,occupancy,MAKS-intercept,-2.12,-1.71,-1.34
striped skunk,B0.9.,occupancy,MAWI-intercept,-2.12,-1.71,-1.34
striped skunk,B0.10.,occupancy,WIDE-intercept,-2.12,-1.71,-1.34
striped skunk,B.1.,occupancy,AUTX-slope,-0.65,-0.38,-0.13
striped skunk,B.2.,occupancy,CHIL-slope,-0.65,-0.38,-0.13
striped skunk,B.3.,occupancy,DECO-slope,-0.65,-0.38,-0.13
striped skunk,B.4.,occupancy,FOCO-slope,-0.65,-0.38,-0.13
striped skunk,B.5.,occupancy,ICIA-slope,-0.65,-0.38,-0.13
striped skunk,B.6.,occupancy,ININ-slope,-0.65,-0.38,-0.13
striped skunk,B.7.,occupancy,LBCA-slope,-0.65,-0.38,-0.13
striped skunk,B.8.,occupancy,MAKS-slope,-0.65,-0.38,-0.13
striped skunk,B.9.,occupancy,MAWI-slope,-0.65,-0.38,-0.13
striped skunk,B.10.,occupancy,WIDE-slope,-0.65,-0.38,-0.13
striped skunk,b1,occupancy,among_city_intercept,-2.12,-1.71,-1.34
striped skunk,b2,occupancy,among_city_slope,-0.65,-0.38,-0.13
striped skunk,b_2016.2.,occupancy,CHIL-2016 data,-0.20,0.42,1.01
striped skunk,b_2016.8.,occupancy,MAKS-2016 data,-2.00,-0.91,0.11
striped skunk,b_2018.2.,occupancy,CHIL-2018 data,-0.60,0.04,0.66
striped skunk,b_2018.5.,occupancy,ICIA-2018 data,-4.68,-1.55,1.10
striped skunk,b_2018.6.,occupancy,ININ-2018 data,-3.73,-0.01,3.59
striped skunk,b_2018.9.,occupancy,MAWI-2018 data,1.20,2.18,3.20
striped skunk,D0.1.,detection,AUTX-intercept,-5.42,-3.95,-2.65
striped skunk,D0.2.,detection,CHIL-intercept,-1.54,-1.42,-1.31
striped skunk,D0.3.,detection,DECO-intercept,-3.05,-2.35,-1.70
striped skunk,D0.4.,detection,FOCO-intercept,-2.38,-1.92,-1.48
striped skunk,D0.5.,detection,ICIA-intercept,-6.52,-4.50,-2.54
striped skunk,D0.6.,detection,ININ-intercept,-5.60,-2.57,0.52
striped skunk,D0.7.,detection,LBCA-intercept,-4.09,-3.31,-2.60
striped skunk,D0.8.,detection,MAKS-intercept,-3.13,-2.67,-2.25
striped skunk,D0.9.,detection,MAWI-intercept,-1.52,-1.30,-1.10
striped skunk,D0.10.,detection,WIDE-intercept,-4.44,-3.29,-2.22
striped skunk,Dmu,detection,grand mean,-3.58,-2.58,-1.59
striped skunk,psi_sd,occupancy,among city standard deviation,0.01,0.14,0.55
striped skunk,rho_sd,detection,among city standard deviation,0.55,1.24,2.34
striped skunk,B_diff.1.,occupancy,AUTX-random effect,-0.48,0.00,0.54
striped skunk,B_diff.2.,occupancy,CHIL-random effect,-0.20,0.06,0.62
striped skunk,B_diff.3.,occupancy,DECO-random effect,-0.55,-0.02,0.35
striped skunk,B_diff.4.,occupancy,FOCO-random effect,-0.43,0.01,0.47
striped skunk,B_diff.5.,occupancy,ICIA-random effect,-0.73,-0.02,0.39
striped skunk,B_diff.6.,occupancy,ININ-random effect,-0.59,0.00,0.53
striped skunk,B_diff.7.,occupancy,LBCA-random effect,-0.38,0.02,0.58
striped skunk,B_diff.8.,occupancy,MAKS-random effect,-0.46,-0.01,0.36
striped skunk,B_diff.9.,occupancy,MAWI-random effect,-0.63,-0.03,0.35
striped skunk,B_diff.10.,occupancy,WIDE--random effect,-0.46,0.00,0.52
